DESTATIS;REGION;HIGHCHARTS
6434;      Hochtaunuskreis; de-he-06434000
9464;      Hof; de-by-09475000
9475;      Hof, Landkreis; de-by-09464000
8126;      Hohenlohekreis; de-bw-08126000
3255;      Holzminden, Landkreis; de-ni-03255000
14264;      Hoyerswerda, Kreisfreie Stadt;
5762;      H_xter, Kreis; de-nw-05762000
16070;      Ilm-Kreis; de-th-16070000
9161;      Ingolstadt; de-by-09161000
16053;      Jena, krsfr. Stadt; de-th-16053000
15358;      Jerichower Land, Kreis;
15086;      Jerichower Land, Landkreis; de-st-15086000
7312;      Kaiserslautern, Kreisfreie Stadt; de-rp-07335000
7335;      Kaiserslautern, Landkreis; de-rp-07312000
14292;      Kamenz, Landkreis;
8212;      Karlsruhe, Kreisfreie Stadt; de-bw-08215000
8215;      Karlsruhe, Landkreis; de-bw-08212000
6611;      Kassel, Kreisfreie Stadt; de-he-06611000
6633;      Kassel, Landkreis; de-he-06633000
9762;      Kaufbeuren; de-by-09762000
9273;      Kelheim, Landkreis; de-by-09273000
9763;      Kempten (Allg_u); de-by-09763000
1002;      Kiel, Landeshauptstadt, Kreisfreie Stadt; de-sh-01002000
9675;      Kitzingen, Landkreis; de-by-09675000
5154;      Kleve, Kreis; de-nw-05154000
7111;      Koblenz, Kreisfreie Stadt; de-rp-07111000
8335;      Konstanz, Landkreis; de-bw-08335000
5114;      Krefeld, Kreisfreie Stadt; de-nw-05114000
13001;      Kreisfreie Stadt Greifswald, Hansestadt;
13002;      Kreisfreie Stadt Neubrandenburg, Stadt;
13003;      Kreisfreie Stadt Rostock, Hansestadt; de-mv-13072000
13004;      Kreisfreie Stadt Schwerin, Landeshauptstadt; de-mv-13004000
13005;      Kreisfreie Stadt Stralsund, Hansestadt;
13006;      Kreisfreie Stadt Wismar, Hansestadt;
9476;      Kronach, Landkreis; de-by-09476000
5315;      K_ln, Kreisfreie Stadt; de-nw-05315000
15159;      K_then, Kreis;
9477;      Kulmbach, Landkreis; de-by-09477000
7336;      Kusel, Landkreis; de-rp-07336000
16065;      Kyffh_userkreis; de-th-16065000
6532;      Lahn-Dill-Kreis; de-he-06532000
7313;      Landau in der Pfalz, Kreisfreie Stadt; de-rp-07313000
13051;      Landkreis Bad Doberan;
13052;      Landkreis Demmin;
13053;      Landkreis G™strow;
13054;      Landkreis Ludwigslust;
13076;      Landkreis Ludwigslust-Parchim; de-mv-13076000
13055;      Landkreis Mecklenburg-Strelitz;
13071;      Landkreis Mecklenburgische Seenplatte; de-mv-13071000
13056;      Landkreis M™ritz;
13057;      Landkreis Nordvorpommern;
13058;      Landkreis Nordwestmecklenburg;
13074;      Landkreis Nordwestmecklenburg; de-mv-13074000
13059;      Landkreis Ostvorpommern;
13060;      Landkreis Parchim;
13072;      Landkreis Rostock; de-mv-13003000
13061;      Landkreis R™gen;
13062;      Landkreis Uecker-Randow;
13075;      Landkreis Vorpommern-Greifswald; de-mv-13075000
13073;      Landkreis Vorpommern-R™gen; de-mv-13073000
9181;      Landsberg am Lech, Landkreis; de-by-09181000
9261;      Landshut; de-by-09274000
9274;      Landshut, Landkreis; de-by-09261000
3457;      Leer, Landkreis; de-ni-03457000
14365;      Leipzig, Kreisfreie Stadt; de-sn-14729000
14729;      Leipzig, Landkreis; de-sn-14713000
14713;      Leipzig, Stadt;
14379;      Leipziger Land, Landkreis;
5316;      Leverkusen, Kreisfreie Stadt; de-nw-05316000
9478;      Lichtenfels, Landkreis; de-by-09478000
6533;      Limburg-Weilburg, Landkreis; de-he-06533000
9776;      Lindau (Bodensee), Landkreis; de-by-09776000
5766;      Lippe, Kreis; de-nw-05766000
14286;      L_bau-Zittau, Landkreis;
8336;      L_rrach, Landkreis; de-bw-08336000
8118;      Ludwigsburg, Landkreis; de-bw-08118000
7314;      Ludwigshafen am Rhein, Kreisfreie Stadt; de-rp-07314000
1003;      L™beck, Hansestadt, Kreisfreie Stadt; de-sh-01003000
3354;      L™chow-Dannenberg, Landkreis; de-ni-03354000
3355;      L™neburg, Landkreis; de-ni-03355000
15003;      Magdeburg, Kreisfreie Stadt; de-st-15003000
15303;      Magdeburg, Kreisfreie Stadt;
6435;      Main-Kinzig-Kreis; de-he-06435000
9677;      Main-Spessart, Landkreis; de-by-09677000
8128;      Main-Tauber-Kreis; de-bw-08128000
6436;      Main-Taunus-Kreis; de-he-06436000
7339;      Mainz-Bingen, Landkreis; de-rp-07339000
7315;      Mainz, Kreisfreie Stadt; de-rp-07315000
8222;      Mannheim, Universit_tsstadt, Kreisfreie Stadt; de-bw-08222000
15087;      Mansfeld-S™dharz, Landkreis; de-st-15087000
15260;      Mansfelder Land, Kreis;
6534;      Marburg-Biedenkopf, Landkreis; de-he-06534000
7137;      Mayen-Koblenz, Landkreis; de-rp-07137000
14280;      Mei_en, Landkreis;
14627;      Mei_en, Landkreis; de-sn-14627000
9764;      Memmingen; de-by-09764000
15261;      Merseburg-Querfurt, Kreis;
10042;      Merzig-Wadern, Landkreis; de-sl-10042000
5158;      Mettmann, Kreis; de-nw-05158000
9182;      Miesbach, Landkreis; de-by-09182000
9676;      Miltenberg, Landkreis; de-by-09676000
5770;      Minden-L™bbecke, Kreis; de-nw-05770000
14522;      Mittelsachsen, Landkreis; de-sn-14522000
14181;      Mittlerer Erzgebirgskreis;
14182;      Mittweida, Landkreis;
5116;      M_nchengladbach, Kreisfreie Stadt; de-nw-05116000
12064;      M_rkisch-Oderland, Landkreis; de-bb-12064000
5962;      M_rkischer Kreis; de-nw-05962000
14383;      Muldentalkreis;
9183;      M™hldorf a.Inn, Landkreis; de-by-09183000
5117;      M™lheim an der Ruhr, Kreisfreie Stadt; de-nw-05117000
9162;      M™nchen, Landeshauptstadt; de-by-09184000
9184;      M™nchen, Landkreis; de-by-09162000
5515;      M™nster, Kreisfreie Stadt; de-nw-05515000
8225;      Neckar-Odenwald-Kreis; de-bw-08225000
9775;      Neu-Ulm, Landkreis; de-by-09775000
9185;      Neuburg-Schrobenhausen, Landkreis; de-by-09185000
9373;      Neumarkt i.d.OPf., Landkreis; de-by-09373000
1004;      Neum™nster, Kreisfreie Stadt; de-sh-01004000
10043;      Neunkirchen, Landkreis; de-sl-10043000
9575;      Neustadt a.d.Aisch-Bad Windsheim, Landkreis; de-by-09575000
9374;      Neustadt a.d.Waldnaab, Landkreis; de-by-09374000
7316;      Neustadt an der Weinstra_e, Kreisfreie Stadt; de-rp-07316000
7138;      Neuwied, Landkreis; de-rp-07138000
14284;      Niederschlesischer Oberlausitzkreis;
3256;      Nienburg (Weser), Landkreis; de-ni-03256000
1054;      Nordfriesland, Landkreis; de-sh-01054000
16062;      Nordhausen, Kreis; de-th-16062000
14730;      Nordsachsen, Landkreis; de-st-14730000
3155;      Northeim, Landkreis; de-ni-03155000
9564;      N™rnberg; de-by-09564000
9574;      N™rnberger Land, Landkreis; de-by-09574000
9780;      Oberallg_u, Landkreis; de-by-09780000
5374;      Oberbergischer Kreis; de-nw-05374000
5119;      Oberhausen, Kreisfreie Stadt; de-nw-05119000
12065;      Oberhavel, Landkreis; de-bb-12065000
12066;      Oberspreewald-Lausitz, Landkreis; de-bb-12066000
6437;      Odenwaldkreis; de-he-06437000
12067;      Oder-Spree, Landkreis; de-bb-12067000
6413;      Offenbach am Main, Kreisfreie Stadt; de-he-06413000
6438;      Offenbach, Landkreis; de-he-06438000
15362;      Ohrekreis;
3403;      Oldenburg (Oldenburg), Kreisfreie Stadt; de-ni-03403000
3458;      Oldenburg, Landkreis; de-ni-03458000
5966;      Olpe, Kreis; de-nw-05966000
8317;      Ortenaukreis; de-bw-08317000
3404;      Osnabr™ck, Kreisfreie Stadt; de-ni-03459000
3459;      Osnabr™ck, Landkreis; de-ni-03404000
8136;      Ostalbkreis; de-bw-08136000
9777;      Ostallg_u, Landkreis; de-by-09777000
3356;      Osterholz, Landkreis; de-ni-03356000
3156;      Osterode am Harz, Landkreis; de-ni-03156000
1055;      Ostholstein, Landkreis; de-sh-01055000
12068;      Ostprignitz-Ruppin, Landkreis; de-bb-12068000
5774;      Paderborn, Kreis; de-nw-05774000
9262;      Passau; de-by-09262000
9275;      Passau, Landkreis; de-by-09275000
3157;      Peine, Landkreis; de-ni-03157000
9186;      Pfaffenhofen a.d.Ilm, Landkreis; de-by-09186000
8231;      Pforzheim, Kreisfreie Stadt; de-bw-08231000
1056;      Pinneberg, Landkreis; de-sh-01056000
7317;      Pirmasens, Kreisfreie Stadt; de-rp-07317000
14166;      Plauen, Kreisfreie Stadt;
1057;      Pl_n, Landkreis; de-sh-01057000
12069;      Potsdam-Mittelmark, Landkreis; de-bb-12069000
12054;      Potsdam, Kreisfreie Stadt; de-bb-12054000
12070;      Prignitz, Landkreis; de-bb-12070000
15364;      Quedlinburg, Kreis;
8216;      Rastatt, Landkreis; de-bw-08216000
8436;      Ravensburg, Landkreis; de-bw-08436000
5562;      Recklinghausen, Kreis; de-nw-05562000
9276;      Regen, Landkreis; de-by-09276000
9362;      Regensburg; de-by-09375000
9375;      Regensburg, Landkreis; de-by-09362000
3241;      Region Hannover, Landkreis; de-ni-03241000
8119;      Rems-Murr-Kreis; de-bw-08119000
5120;      Remscheid, Kreisfreie Stadt; de-nw-05120000
1058;      Rendsburg-Eckernf_rde, Landkreis; de-sh-01058000
8415;      Reutlingen, Landkreis; de-bw-08415000
5362;      Rhein-Erft-Kreis; de-nw-05362000
7140;      Rhein-Hunsr™ck-Kreis; de-rp-07140000
5162;      Rhein-Kreis Neuss; de-nw-05162000
7141;      Rhein-Lahn-Kreis; de-rp-07141000
8226;      Rhein-Neckar-Kreis; de-bw-08226000
7338;      Rhein-Pfalz-Kreis; de-rp-07338000
5382;      Rhein-Sieg-Kreis; de-nw-05382000
6439;      Rheingau-Taunus-Kreis; de-he-06439000
5378;      Rheinisch-Bergischer Kreis; de-nw-05378000
9673;      Rh_n-Grabfeld, Landkreis; de-by-09673000
14285;      Riesa-Gro_enhain, Landkreis;
9163;      Rosenheim; de-by-09187000
9187;      Rosenheim, Landkreis; de-by-09163000
3357;      Rotenburg (W™mme), Landkreis; de-ni-03357000
9576;      Roth, Landkreis; de-by-09576000
9277;      Rottal-Inn, Landkreis; de-by-09277000
8325;      Rottweil, Landkreis; de-bw-08325000
16074;      Saale-Holzland-Kreis; de-th-16074000
16075;      Saale-Orla-Kreis; de-th-16075000
15088;      Saalekreis; de-st-15088000
16073;      Saalfeld-Rudolstadt, Kreis; de-th-16073000
15265;      Saalkreis;
10041100;      Saarbr™cken, Landeshauptstadt;
10041;      Saarbr™cken, Regionalverband; de-sl-10041000
10044;      Saarlouis, Landkreis; de-sl-10044000
10045;      Saarpfalz-Kreis; de-sl-10045000
3102;      Salzgitter, Kreisfreie Stadt; de-ni-03102000
15089;      Salzlandkreis; de-st-15089000
15266;      Sangerhausen, Kreis;
3257;      Schaumburg, Landkreis; de-ni-03257000
1059;      Schleswig-Flensburg, Landkreis; de-sh-01059000
16066;      Schmalkalden-Meiningen, Kreis; de-th-16066000
15367;      Sch_nebeck, Kreis;
9565;      Schwabach; de-by-09565000
6634;      Schwalm-Eder-Kreis; de-he-06634000
9376;      Schwandorf, Landkreis; de-by-09376000
8326;      Schwarzwald-Baar-Kreis; de-bw-08326000
9662;      Schweinfurt; de-by-09678000
9678;      Schweinfurt, Landkreis; de-by-09662000
8127;      Schw_bisch Hall, Landkreis; de-bw-08127000
1060;      Segeberg, Landkreis; de-sh-01060000
5970;      Siegen-Wittgenstein, Kreis; de-nw-05970000
8437;      Sigmaringen, Landkreis; de-bw-08437000
5974;      Soest, Kreis; de-nw-05974000
5122;      Solingen, Kreisfreie Stadt; de-nw-05122000
16072;      Sonneberg, Kreis; de-th-16072000
7318;      Speyer, Kreisfreie Stadt; de-rp-07318000
12071;      Spree-Nei_e, Landkreis; de-bb-12071000
14628;      S_chsische Schweiz-Osterzgebirge, Landkreis; de-sn-14628000
14287;      S_chsische Schweiz, Landkreis;
16068;      S_mmerda, Kreis; de-th-16068000
10046;      St. Wendel, Landkreis; de-sl-10046000
3359;      Stade, Landkreis; de-ni-03359000
9188;      Starnberg, Landkreis; de-by-09188000
1061;      Steinburg, Landkreis; de-sh-01061000
5566;      Steinfurt, Kreis; de-nw-05566000
15363;      Stendal, Kreis;
15090;      Stendal, Landkreis; de-st-15090000
14188;      Stollberg, Landkreis;
1062;      Stormarn, Landkreis; de-sh-01062000
9263;      Straubing; de-by-09263000
9278;      Straubing-Bogen, Landkreis; de-by-09278000
5334;      St_dteregion Aachen (einschl. Stadt Aachen); de-nw-05334000
8111;      Stuttgart, Landeshauptstadt, Kreisfreie Stadt; de-bw-08111000
16054;      Suhl, krsfr. Stadt; de-th-16054000
7337;      S™dliche Weinstra_e, Landkreis; de-rp-07337000
7340;      S™dwestpfalz, Landkreis; de-rp-07340000
12072;      Teltow-Fl_ming, Landkreis; de-bb-12072000
9377;      Tirschenreuth, Landkreis; de-by-09377000
14389;      Torgau-Oschatz, Landkreis;
9189;      Traunstein, Landkreis; de-by-09189000
7235;      Trier-Saarburg, Landkreis; de-rp-07235000
7211;      Trier, Kreisfreie Stadt; de-rp-07211000
8327;      Tuttlingen, Landkreis; de-bw-08327000
8416;      T™bingen, Landkreis; de-bw-08416000
12073;      Uckermark, Landkreis; de-bb-12073000
3360;      Uelzen, Landkreis; de-ni-03360000
8421;      Ulm, Universit_tsstadt, Kreisfreie Stadt; de-bw-08421000
5978;      Unna, Kreis; de-nw-05978000
16064;      Unstrut-Hainich-Kreis; de-th-16064000
9778;      Unterallg_u, Landkreis; de-by-09778000
3460;      Vechta, Landkreis; de-ni-03460000
3361;      Verden, Landkreis; de-ni-03361000
5166;      Viersen, Kreis; de-nw-05166000
6535;      Vogelsbergkreis; de-he-06535000
14178;      Vogtlandkreis;
14523;      Vogtlandkreis; de-sn-14523000
7233;      Vulkaneifel, Landkreis; de-rp-07233000
6635;      Waldeck-Frankenberg, Landkreis; de-he-06635000
8337;      Waldshut, Landkreis; de-bw-08337000
5570;      Warendorf, Kreis; de-nw-05570000
16063;      Wartburgkreis; de-th-16063000
9577;      Wei_enburg-Gunzenhausen, Landkreis; de-by-09577000
15268;      Wei_enfels, Kreis;
14290;      Wei_eritzkreis;
9363;      Weiden i.d.OPf.; de-by-09363000
9190;      Weilheim-Schongau, Landkreis; de-by-09190000
16055;      Weimar, krsfr. Stadt; de-th-16055000
16071;      Weimarer Land, Kreis; de-th-16071000
15369;      Wernigerode, Kreis;
6636;      Werra-Mei_ner-Kreis; de-he-06636000
5170;      Wesel, Kreis; de-nw-05170000
3461;      Wesermarsch, Landkreis; de-ni-03461000
7143;      Westerwaldkreis; de-rp-07143000
6440;      Wetteraukreis; de-he-06440000
6414;      Wiesbaden, Landeshauptstadt, Kreisfreie Stadt; de-he-06414000
